"","X","Nstates","Tstates","tpurity","Ncount","Tcount","log.ratios","state","hiddenstate","hiddenNstate","hiddenTstate","consistance","compressedState","compressedhiddenState","compressedconsistence","postpurity","clusterpurity","truepuritydiff","tcompressedstate"
"13687",13687,2,2,0.7,19,15,-0.159427736928102,8,2,1,1,FALSE,3,3,TRUE,NA,NA,NA,3
"13688",13688,1,2,0.7,7,13,0.470003629245735,3,2,1,1,FALSE,5,3,FALSE,NA,NA,NA,4
"13689",13689,2,2,0.7,20,20,0,8,2,1,1,FALSE,3,3,TRUE,NA,NA,NA,3
"13690",13690,1,2,0.7,12,14,0.110348057168865,3,2,1,1,FALSE,5,3,FALSE,NA,NA,NA,3
"13691",13691,2,2,0.7,20,18,-0.0725706928348354,8,2,1,1,FALSE,3,3,TRUE,NA,NA,NA,3
"13692",13692,1,2,0.7,10,21,0.570979546585738,3,2,1,1,FALSE,5,3,FALSE,NA,NA,NA,5
"13693",13693,2,2,0.7,16,16,0,8,2,1,1,FALSE,3,3,TRUE,NA,NA,NA,3
"13694",13694,3,2,0.7,37,19,-0.416334780345068,13,2,1,1,FALSE,2,3,FALSE,NA,NA,NA,2
"13695",13695,1,2,0.7,10,12,0.131028262406404,3,2,1,1,FALSE,5,3,FALSE,NA,NA,NA,3
"13696",13696,2,2,0.7,18,22,0.144581228811108,8,2,1,1,FALSE,3,3,TRUE,NA,NA,NA,3
"13697",13697,1,2,0.7,7,11,0.336472236621213,3,2,1,1,FALSE,5,3,FALSE,NA,NA,NA,4
"13698",13698,2,2,0.7,23,20,-0.0957450569583843,8,2,1,1,FALSE,3,3,TRUE,NA,NA,NA,3
"13699",13699,3,2,0.7,40,15,-0.575364144903562,13,2,1,1,FALSE,2,3,FALSE,NA,NA,NA,2
"13700",13700,2,2,0.7,16,20,0.161268147596122,8,2,1,1,FALSE,3,3,TRUE,NA,NA,NA,3
"13701",13701,3,2,0.7,22,22,0,13,2,1,1,FALSE,2,3,FALSE,NA,NA,NA,3
"13702",13702,2,2,0.7,18,17,-0.0396652563924316,8,2,1,1,FALSE,3,3,TRUE,NA,NA,NA,3
"13703",13703,3,2,0.7,32,17,-0.397682967666109,13,2,1,1,FALSE,2,3,FALSE,NA,NA,NA,2
"13704",13704,1,2,0.7,6,16,0.773189888233482,3,2,1,1,FALSE,5,3,FALSE,NA,NA,NA,5
"13705",13705,3,2,0.7,27,21,-0.169076330043934,13,2,1,1,FALSE,2,3,FALSE,NA,NA,NA,3
"13706",13706,1,2,0.7,9,15,0.382992252256106,3,2,1,1,FALSE,5,3,FALSE,NA,NA,NA,4
"13707",13707,3,2,0.7,28,13,-0.470003629245736,13,2,1,1,FALSE,2,3,FALSE,NA,NA,NA,2
"13708",13708,3,2,0.7,37,14,-0.571168753673459,13,2,1,1,FALSE,2,3,FALSE,NA,NA,NA,2
"13709",13709,1,2,0.7,9,11,0.144581228811108,3,2,1,1,FALSE,5,3,FALSE,NA,NA,NA,3
"13710",13710,3,2,0.7,30,6,-0.82098055206983,13,2,1,1,FALSE,2,3,FALSE,NA,NA,NA,2
